"Level_id","Agg_Level_1","Agg_Level_2","Dollar_Sales","weight"
"Level12","HOBBIES_1_049","CA_1",70.92,1.8180066e-05
"Level12","HOBBIES_1_050","CA_1",241.56,6.1922965e-05
"Level12","HOBBIES_1_051","CA_1",35.88,9.197698e-06
"Level12","HOBBIES_1_052","CA_1",17.64,4.521945e-06
"Level12","HOBBIES_1_053","CA_1",19.85,5.08847e-06
"Level12","HOBBIES_1_054","CA_1",17.82,4.568088e-06
"Level12","HOBBIES_1_055","CA_1",682.48,0.000174951088
"Level12","HOBBIES_1_056","CA_1",30.08,7.710891e-06
"Level12","HOBBIES_1_057","CA_1",141.52,3.62781e-05
"Level12","HOBBIES_1_058","CA_1",35.93,9.210515e-06
"Level12","HOBBIES_1_060","CA_1",479.36,0.000122882068
"Level12","HOBBIES_1_061","CA_1",19.81,5.078216e-06
"Level12","HOBBIES_1_062","CA_1",3.88,9.94623e-07
"Level12","HOBBIES_1_063","CA_1",10.94,2.804426e-06
"Level12","HOBBIES_1_064","CA_1",77.82,1.9948854e-05
"Level12","HOBBIES_1_065","CA_1",4.88,1.250969e-06
"Level12","HOBBIES_1_066","CA_1",5,1.281731e-06
"Level12","HOBBIES_1_067","CA_1",80.37,2.0602536e-05
"Level12","HOBBIES_1_068","CA_1",203,5.2038259e-05
"Level12","HOBBIES_1_069","CA_1",79.38,2.0348754e-05
"Level12","HOBBIES_1_070","CA_1",23.52,6.02926e-06
"Level12","HOBBIES_1_072","CA_1",57.13,1.4645053e-05
"Level12","HOBBIES_1_073","CA_1",27.35,7.011066e-06
"Level12","HOBBIES_1_074","CA_1",124.78,3.1986867e-05
"Level12","HOBBIES_1_075","CA_1",84,2.1533073e-05
"Level12","HOBBIES_1_076","CA_1",65.17,1.6706076e-05
"Level12","HOBBIES_1_077","CA_1",132.44,3.3950478e-05
"Level12","HOBBIES_1_078","CA_1",383.4,9.8283096e-05
"Level12","HOBBIES_1_079","CA_1",189.12,4.8480175e-05
"Level12","HOBBIES_1_080","CA_1",25.08,6.42916e-06
"Level12","HOBBIES_1_081","CA_1",323.84,8.3015122e-05
"Level12","HOBBIES_1_082","CA_1",22.68,5.81393e-06
"Level12","HOBBIES_1_083","CA_1",286.56,7.3458539e-05
"Level12","HOBBIES_1_084","CA_1",106.38,2.7270098e-05
"Level12","HOBBIES_1_085","CA_1",603.52,0.00015471
"Level12","HOBBIES_1_086","CA_1",209.5,5.3704509e-05
"Level12","HOBBIES_1_087","CA_1",141.68,3.6319116e-05
"Level12","HOBBIES_1_088","CA_1",64.25,1.6470237e-05
"Level12","HOBBIES_1_089","CA_1",478.2,0.000122584706
"Level12","HOBBIES_1_090","CA_1",140.4,3.5990993e-05
"Level12","HOBBIES_1_091","CA_1",24.5,6.28048e-06
"Level12","HOBBIES_1_092","CA_1",2.38,6.10104e-07
"Level12","HOBBIES_1_093","CA_1",219.56,5.628335e-05
"Level12","HOBBIES_1_094","CA_1",155.64,3.9897707e-05
"Level12","HOBBIES_1_095","CA_1",38.4,9.84369e-06
"Level12","HOBBIES_1_097","CA_1",76.32,1.9564335e-05
"Level12","HOBBIES_1_098","CA_1",279.6,7.167437e-05
"Level12","HOBBIES_1_099","CA_1",559.2,0.000143348741
"Level12","HOBBIES_1_100","CA_1",282,7.2289601e-05
"Level12","HOBBIES_1_102","CA_1",34.86,8.936225e-06
"Level12","HOBBIES_1_103","CA_1",50.4,1.2919844e-05
"Level12","HOBBIES_1_104","CA_1",95.92,2.4588718e-05
"Level12","HOBBIES_1_105","CA_1",86.84,2.2261096e-05
"Level12","HOBBIES_1_106","CA_1",20.56,5.270476e-06
"Level12","HOBBIES_1_107","CA_1",11.93,3.058209e-06
"Level12","HOBBIES_1_108","CA_1",337.48,8.6511683e-05
"Level12","HOBBIES_1_109","CA_1",91.8,2.3532572e-05
"Level12","HOBBIES_1_110","CA_1",25.69,6.585531e-06
"Level12","HOBBIES_1_111","CA_1",32.12,8.233837e-06
"Level12","HOBBIES_1_112","CA_1",10.88,2.789046e-06
"Level12","HOBBIES_1_113","CA_1",7.35,1.884144e-06
"Level12","HOBBIES_1_114","CA_1",29.85,7.651931e-06
"Level12","HOBBIES_1_115","CA_1",24.48,6.275353e-06
"Level12","HOBBIES_1_116","CA_1",116.46,2.9854067e-05
"Level12","HOBBIES_1_117","CA_1",88.76,2.275328e-05
"Level12","HOBBIES_1_118","CA_1",33.36,8.551706e-06
"Level12","HOBBIES_1_119","CA_1",54.87,1.4065711e-05
"Level12","HOBBIES_1_120","CA_1",241.56,6.1922965e-05
"Level12","HOBBIES_1_121","CA_1",16.8,4.306615e-06
"Level12","HOBBIES_1_122","CA_1",99.12,2.5409026e-05
"Level12","HOBBIES_1_123","CA_1",133.64,3.4258093e-05
"Level12","HOBBIES_1_124","CA_1",173.42,4.4455541e-05
"Level12","HOBBIES_1_125","CA_1",175.95,4.5104097e-05
"Level12","HOBBIES_1_126","CA_1",383.2,9.8231827e-05
"Level12","HOBBIES_1_127","CA_1",25.62,6.567587e-06
"Level12","HOBBIES_1_128","CA_1",69.37,1.7782729e-05
"Level12","HOBBIES_1_129","CA_1",126.88,3.2525194e-05
"Level12","HOBBIES_1_130","CA_1",68.25,1.7495622e-05
"Level12","HOBBIES_1_131","CA_1",27.2,6.972614e-06
"Level12","HOBBIES_1_132","CA_1",199,5.1012874e-05
"Level12","HOBBIES_1_133","CA_1",127.92,3.2791793e-05
"Level12","HOBBIES_1_134","CA_1",452.79,0.000116070952
"Level12","HOBBIES_1_135","CA_1",183.42,4.7019002e-05
"Level12","HOBBIES_1_136","CA_1",9.76,2.501938e-06
"Level12","HOBBIES_1_137","CA_1",235.55,6.0382325e-05
"Level12","HOBBIES_1_138","CA_1",41.16,1.0551206e-05
"Level12","HOBBIES_1_139","CA_1",90.42,2.3178815e-05
"Level12","HOBBIES_1_140","CA_1",30.24,7.751906e-06
"Level12","HOBBIES_1_141","CA_1",824.82,0.000211439393
"Level12","HOBBIES_1_142","CA_1",30.08,7.710891e-06
"Level12","HOBBIES_1_143","CA_1",51.83,1.3286419e-05
"Level12","HOBBIES_1_144","CA_1",406.08,0.000104097025
"Level12","HOBBIES_1_145","CA_1",49.92,1.2796797e-05
"Level12","HOBBIES_1_146","CA_1",58.32,1.4950105e-05
"Level12","HOBBIES_1_147","CA_1",2033.88,0.000521377212
"Level12","HOBBIES_1_148","CA_1",204.96,5.2540697e-05
"Level12","HOBBIES_1_149","CA_1",17.16,4.398899e-06
"Level12","HOBBIES_1_150","CA_1",56.64,1.4519443e-05
"Level12","HOBBIES_1_151","CA_1",76.58,1.9630985e-05
"Level12","HOBBIES_1_152","CA_1",58.32,1.4950105e-05
"Level12","HOBBIES_1_153","CA_1",312.62,8.0138919e-05
"Level12","HOBBIES_1_154","CA_1",132.48,3.3960732e-05
"Level12","HOBBIES_1_155","CA_1",1670.24,0.000428159515
"Level12","HOBBIES_1_156","CA_1",58.41,1.4973176e-05
"Level12","HOBBIES_1_157","CA_1",360.96,9.2530689e-05
"Level12","HOBBIES_1_158","CA_1",2114.16,0.000541956677
"Level12","HOBBIES_1_159","CA_1",178.2,4.5680876e-05
"Level12","HOBBIES_1_160","CA_1",359.28,9.2100028e-05
"Level12","HOBBIES_1_161","CA_1",16.8,4.306615e-06
"Level12","HOBBIES_1_162","CA_1",35.82,9.182317e-06
"Level12","HOBBIES_1_163","CA_1",94.2,2.4147803e-05
"Level12","HOBBIES_1_164","CA_1",376.74,9.6575831e-05
"Level12","HOBBIES_1_165","CA_1",24.85,6.370201e-06
"Level12","HOBBIES_1_166","CA_1",548.9,0.000140708376
"Level12","HOBBIES_1_167","CA_1",45.56,1.1679128e-05
"Level12","HOBBIES_1_168","CA_1",33.81,8.667062e-06
"Level12","HOBBIES_1_169","CA_1",122.55,3.1415215e-05
"Level12","HOBBIES_1_170","CA_1",71.88,1.8426158e-05
"Level12","HOBBIES_1_171","CA_1",37.44,9.597598e-06
"Level12","HOBBIES_1_172","CA_1",65.56,1.6806051e-05
"Level12","HOBBIES_1_173","CA_1",131.64,3.3745401e-05
"Level12","HOBBIES_1_174","CA_1",9.76,2.501938e-06
"Level12","HOBBIES_1_175","CA_1",3.94,1.010004e-06
"Level12","HOBBIES_1_176","CA_1",95.04,2.4363134e-05
"Level12","HOBBIES_1_177","CA_1",152.64,3.9128669e-05
"Level12","HOBBIES_1_178","CA_1",79.2,2.0302611e-05
"Level12","HOBBIES_1_179","CA_1",164.88,4.2266345e-05
"Level12","HOBBIES_1_180","CA_1",219.78,5.6339746e-05
"Level12","HOBBIES_1_181","CA_1",15.76,4.040015e-06
"Level12","HOBBIES_1_183","CA_1",75.76,1.9420781e-05
"Level12","HOBBIES_1_184","CA_1",114.12,2.9254217e-05
"Level12","HOBBIES_1_185","CA_1",45.36,1.1627859e-05
"Level12","HOBBIES_1_186","CA_1",557.2,0.000142836049
"Level12","HOBBIES_1_187","CA_1",147,3.7682877e-05
"Level12","HOBBIES_1_188","CA_1",90.16,2.3112165e-05
"Level12","HOBBIES_1_189","CA_1",132.48,3.3960732e-05
"Level12","HOBBIES_1_190","CA_1",29.91,7.667312e-06
"Level12","HOBBIES_1_191","CA_1",53.82,1.3796547e-05
"Level12","HOBBIES_1_192","CA_1",14.16,3.629861e-06
"Level12","HOBBIES_1_193","CA_1",161.89,4.1499871e-05
"Level12","HOBBIES_1_194","CA_1",141.12,3.6175562e-05
"Level12","HOBBIES_1_195","CA_1",282,7.2289601e-05
"Level12","HOBBIES_1_197","CA_1",141.24,3.6206324e-05
"Level12","HOBBIES_1_198","CA_1",117.32,3.0074525e-05
"Level12","HOBBIES_1_199","CA_1",47.76,1.224309e-05
"Level12","HOBBIES_1_200","CA_1",126.08,3.2320117e-05
"Level12","HOBBIES_1_201","CA_1",119.6,3.0658994e-05
"Level12","HOBBIES_1_202","CA_1",17.7,4.537326e-06
"Level12","HOBBIES_1_203","CA_1",246.62,6.3220076e-05
"Level12","HOBBIES_1_204","CA_1",252.72,6.4783787e-05
"Level12","HOBBIES_1_205","CA_1",17.64,4.521945e-06
"Level12","HOBBIES_1_206","CA_1",106.08,2.7193195e-05
"Level12","HOBBIES_1_207","CA_1",19.46,4.988495e-06
"Level12","HOBBIES_1_208","CA_1",158.76,4.0697507e-05
"Level12","HOBBIES_1_209","CA_1",103.6,2.6557456e-05
"Level12","HOBBIES_1_210","CA_1",0,0
"Level12","HOBBIES_1_211","CA_1",132.16,3.3878701e-05
"Level12","HOBBIES_1_212","CA_1",7.47,1.914905e-06
"Level12","HOBBIES_1_213","CA_1",159.22,4.0815426e-05
"Level12","HOBBIES_1_214","CA_1",29.64,7.598098e-06
"Level12","HOBBIES_1_215","CA_1",186.66,4.7849564e-05
"Level12","HOBBIES_1_216","CA_1",35.4,9.074652e-06
"Level12","HOBBIES_1_217","CA_1",20.82,5.337126e-06
"Level12","HOBBIES_1_218","CA_1",84.64,2.1697134e-05
"Level12","HOBBIES_1_219","CA_1",3.48,8.92084e-07
"Level12","HOBBIES_1_220","CA_1",35.04,8.982367e-06
"Level12","HOBBIES_1_221","CA_1",14.85,3.80674e-06
"Level12","HOBBIES_1_223","CA_1",28,7.177691e-06
"Level12","HOBBIES_1_224","CA_1",47.64,1.2212328e-05
"Level12","HOBBIES_1_225","CA_1",299.6,7.6801292e-05
"Level12","HOBBIES_1_226","CA_1",447.36,0.000114678993
"Level12","HOBBIES_1_227","CA_1",15.76,4.040015e-06
"Level12","HOBBIES_1_228","CA_1",199.23,5.1071834e-05
"Level12","HOBBIES_1_229","CA_1",6.47,1.658559e-06
"Level12","HOBBIES_1_230","CA_1",13.44,3.445292e-06
"Level12","HOBBIES_1_231","CA_1",130.53,3.3460857e-05
"Level12","HOBBIES_1_232","CA_1",26.88,6.890583e-06
"Level12","HOBBIES_1_233","CA_1",17.5,4.486057e-06
"Level12","HOBBIES_1_234","CA_1",34.2,8.767037e-06
"Level12","HOBBIES_1_235","CA_1",233.64,5.9892703e-05
"Level12","HOBBIES_1_236","CA_1",130.68,3.3499309e-05
"Level12","HOBBIES_1_237","CA_1",167.58,4.295848e-05
"Level12","HOBBIES_1_238","CA_1",71.28,1.827235e-05
"Level12","HOBBIES_1_239","CA_1",32.67,8.374827e-06
"Level12","HOBBIES_1_240","CA_1",80.64,2.067175e-05
"Level12","HOBBIES_1_241","CA_1",2293.1,0.000587827248
"Level12","HOBBIES_1_242","CA_1",72.28,1.8528696e-05
"Level12","HOBBIES_1_243","CA_1",97.16,2.4906587e-05
"Level12","HOBBIES_1_244","CA_1",98.4,2.5224457e-05
"Level12","HOBBIES_1_245","CA_1",24.85,6.370201e-06
"Level12","HOBBIES_1_246","CA_1",142.74,3.6590843e-05
"Level12","HOBBIES_1_247","CA_1",1097.2,0.000281262944
"Level12","HOBBIES_1_248","CA_1",31.96,8.192821e-06
"Level12","HOBBIES_1_249","CA_1",126.88,3.2525194e-05
"Level12","HOBBIES_1_250","CA_1",34.16,8.756783e-06
"Level12","HOBBIES_1_251","CA_1",174.13,4.4637547e-05
"Level12","HOBBIES_1_252","CA_1",21.76,5.578091e-06
"Level12","HOBBIES_1_253","CA_1",167.72,4.2994368e-05
"Level12","HOBBIES_1_254","CA_1",114.1,2.924909e-05
"Level12","HOBBIES_1_255","CA_1",30.08,7.710891e-06
"Level12","HOBBIES_1_256","CA_1",110.4,2.830061e-05
"Level12","HOBBIES_1_257","CA_1",117.32,3.0074525e-05
"Level12","HOBBIES_1_258","CA_1",376.96,9.6632227e-05
"Level12","HOBBIES_1_259","CA_1",6.79,1.74059e-06
"Level12","HOBBIES_1_260","CA_1",99.52,2.5511564e-05
"Level12","HOBBIES_1_261","CA_1",83.52,2.1410027e-05
"Level12","HOBBIES_1_262","CA_1",215.52,5.5247712e-05
"Level12","HOBBIES_1_263","CA_1",79.52,2.0384642e-05
"Level12","HOBBIES_1_264","CA_1",40.23,1.0312804e-05
"Level12","HOBBIES_1_265","CA_1",19.85,5.08847e-06
"Level12","HOBBIES_1_266","CA_1",92.34,2.3670999e-05
"Level12","HOBBIES_1_267","CA_1",14.4,3.691384e-06
"Level12","HOBBIES_1_268","CA_1",108,2.7685379e-05
"Level12","HOBBIES_1_269","CA_1",35.19,9.020819e-06
"Level12","HOBBIES_1_270","CA_1",63.44,1.6262597e-05
"Level12","HOBBIES_1_271","CA_1",17.31,4.437351e-06
"Level12","HOBBIES_1_272","CA_1",42.2,1.0817806e-05
"Level12","HOBBIES_1_273","CA_1",88.76,2.275328e-05
"Level12","HOBBIES_1_274","CA_1",79.04,2.0261596e-05
"Level12","HOBBIES_1_275","CA_1",412.16,0.00010565561
"Level12","HOBBIES_1_276","CA_1",135.66,3.4775912e-05
"Level12","HOBBIES_1_277","CA_1",42.48,1.0889582e-05
"Level12","HOBBIES_1_278","CA_1",69.54,1.7826308e-05
"Level12","HOBBIES_1_279","CA_1",109.62,2.810066e-05
"Level12","HOBBIES_1_280","CA_1",175.68,4.5034883e-05
"Level12","HOBBIES_1_281","CA_1",97.52,2.4998872e-05
"Level12","HOBBIES_1_282","CA_1",147.26,3.7749527e-05
"Level12","HOBBIES_1_283","CA_1",153.72,3.9405523e-05
"Level12","HOBBIES_1_284","CA_1",39.04,1.0007752e-05
"Level12","HOBBIES_1_285","CA_1",10.88,2.789046e-06
"Level12","HOBBIES_1_286","CA_1",89.6,2.2968611e-05
"Level12","HOBBIES_1_287","CA_1",97.92,2.510141e-05
"Level12","HOBBIES_1_288","CA_1",17.1,4.383518e-06
"Level12","HOBBIES_1_289","CA_1",14.91,3.82212e-06
"Level12","HOBBIES_1_290","CA_1",23.08,5.916468e-06
"Level12","HOBBIES_1_292","CA_1",65.8,1.6867574e-05
"Level12","HOBBIES_1_293","CA_1",47.84,1.2263598e-05
"Level12","HOBBIES_1_294","CA_1",11.64,2.983869e-06
"Level12","HOBBIES_1_295","CA_1",106.08,2.7193195e-05
"Level12","HOBBIES_1_296","CA_1",147.6,3.7836685e-05
"Level12","HOBBIES_1_297","CA_1",691.84,0.000177350488
"Level12","HOBBIES_1_298","CA_1",153.66,3.9390142e-05
"Level12","HOBBIES_1_299","CA_1",19.05,4.883393e-06
"Level12","HOBBIES_1_300","CA_1",276.57,7.0897642e-05
"Level12","HOBBIES_1_301","CA_1",224.64,5.7585589e-05
"Level12","HOBBIES_1_302","CA_1",0,0
"Level12","HOBBIES_1_303","CA_1",59.92,1.5360258e-05
"Level12","HOBBIES_1_304","CA_1",23.88,6.121545e-06
"Level12","HOBBIES_1_305","CA_1",31.57,8.092846e-06
"Level12","HOBBIES_1_306","CA_1",209.7,5.3755778e-05
"Level12","HOBBIES_1_307","CA_1",23.82,6.106164e-06
"Level12","HOBBIES_1_308","CA_1",169.66,4.349168e-05
"Level12","HOBBIES_1_309","CA_1",107.52,2.7562333e-05
"Level12","HOBBIES_1_310","CA_1",74.36,1.9061896e-05
"Level12","HOBBIES_1_311","CA_1",161.82,4.1481926e-05
"Level12","HOBBIES_1_312","CA_1",44.46,1.1397148e-05
"Level12","HOBBIES_1_313","CA_1",71.34,1.8287731e-05
"Level12","HOBBIES_1_314","CA_1",15.88,4.070776e-06
"Level12","HOBBIES_1_315","CA_1",24.85,6.370201e-06
"Level12","HOBBIES_1_316","CA_1",13.16,3.373515e-06
"Level12","HOBBIES_1_317","CA_1",135.66,3.4775912e-05
"Level12","HOBBIES_1_318","CA_1",71.28,1.827235e-05
"Level12","HOBBIES_1_319","CA_1",73.92,1.8949104e-05
"Level12","HOBBIES_1_320","CA_1",138.88,3.5601347e-05
"Level12","HOBBIES_1_321","CA_1",53.44,1.3699136e-05
"Level12","HOBBIES_1_322","CA_1",23.82,6.106164e-06
"Level12","HOBBIES_1_323","CA_1",209.6,5.3730143e-05
"Level12","HOBBIES_1_324","CA_1",618.24,0.000158483415
"Level12","HOBBIES_1_325","CA_1",25.76,6.603476e-06
"Level12","HOBBIES_1_326","CA_1",43.34,1.111004e-05
"Level12","HOBBIES_1_327","CA_1",157.6,4.0400146e-05
"Level12","HOBBIES_1_328","CA_1",114.24,2.9284979e-05
"Level12","HOBBIES_1_329","CA_1",226.29,5.800856e-05
"Level12","HOBBIES_1_330","CA_1",133.96,3.4340124e-05
"Level12","HOBBIES_1_331","CA_1",6.58,1.686757e-06
"Level12","HOBBIES_1_332","CA_1",149.72,3.8380139e-05
"Level12","HOBBIES_1_333","CA_1",29.82,7.644241e-06
"Level12","HOBBIES_1_334","CA_1",119.6,3.0658994e-05
"Level12","HOBBIES_1_335","CA_1",215.28,5.5186189e-05
"Level12","HOBBIES_1_336","CA_1",0,0
"Level12","HOBBIES_1_337","CA_1",271.58,6.9618475e-05
"Level12","HOBBIES_1_338","CA_1",233.48,5.9851688e-05
"Level12","HOBBIES_1_339","CA_1",654.36,0.000167742636
"Level12","HOBBIES_1_340","CA_1",53.84,1.3801674e-05
"Level12","HOBBIES_1_341","CA_1",78.72,2.0179565e-05
"Level12","HOBBIES_1_342","CA_1",359.28,9.2100028e-05
"Level12","HOBBIES_1_343","CA_1",122.36,3.1366509e-05
"Level12","HOBBIES_1_344","CA_1",235.6,6.0395142e-05
"Level12","HOBBIES_1_345","CA_1",149.72,3.8380139e-05
"Level12","HOBBIES_1_346","CA_1",71.46,1.8318493e-05
"Level12","HOBBIES_1_347","CA_1",0,0
"Level12","HOBBIES_1_348","CA_1",125.76,3.2238086e-05
"Level12","HOBBIES_1_349","CA_1",249.5,6.3958353e-05
"Level12","HOBBIES_1_350","CA_1",8.94,2.291734e-06
"Level12","HOBBIES_1_351","CA_1",63.36,1.6242089e-05
"Level12","HOBBIES_1_352","CA_1",84.94,2.1774038e-05
"Level12","HOBBIES_1_353","CA_1",166.32,4.2635484e-05
"Level12","HOBBIES_1_354","CA_1",4228.32,0.001083913354
"Level12","HOBBIES_1_355","CA_1",102.44,2.6260095e-05
"Level12","HOBBIES_1_356","CA_1",195.84,5.0202821e-05
"Level12","HOBBIES_1_357","CA_1",376.48,9.6509181e-05
"Level12","HOBBIES_1_358","CA_1",49.32,1.264299e-05
"Level12","HOBBIES_1_359","CA_1",4.41,1.130486e-06
"Level12","HOBBIES_1_360","CA_1",44.82,1.1489432e-05
"Level12","HOBBIES_1_361","CA_1",269.64,6.9121163e-05
"Level12","HOBBIES_1_362","CA_1",75.68,1.9400273e-05
"Level12","HOBBIES_1_363","CA_1",28.8,7.382768e-06
"Level12","HOBBIES_1_364","CA_1",281.16,7.207427e-05
"Level12","HOBBIES_1_365","CA_1",11.91,3.053082e-06
"Level12","HOBBIES_1_366","CA_1",31.76,8.141552e-06
"Level12","HOBBIES_1_367","CA_1",427.38,0.000109557197
"Level12","HOBBIES_1_368","CA_1",12.66,3.245342e-06
"Level12","HOBBIES_1_369","CA_1",183.6,4.7065144e-05
"Level12","HOBBIES_1_370","CA_1",53.28,1.365812e-05
"Level12","HOBBIES_1_371","CA_1",142.08,3.6421654e-05
"Level12","HOBBIES_1_372","CA_1",133.6,3.4247839e-05
"Level12","HOBBIES_1_373","CA_1",500.48,0.000128296098
"Level12","HOBBIES_1_374","CA_1",699.2,0.000179237195
"Level12","HOBBIES_1_375","CA_1",49.4,1.2663497e-05
"Level12","HOBBIES_1_376","CA_1",252.9,6.4829929e-05
"Level12","HOBBIES_1_377","CA_1",89.82,2.3025007e-05
"Level12","HOBBIES_1_378","CA_1",265.68,6.8106033e-05
"Level12","HOBBIES_1_379","CA_1",56,1.4355382e-05
"Level12","HOBBIES_1_380","CA_1",42.48,1.0889582e-05
"Level12","HOBBIES_1_381","CA_1",58.8,1.5073151e-05
"Level12","HOBBIES_1_382","CA_1",41.37,1.0605038e-05
"Level12","HOBBIES_1_383","CA_1",59.6,1.5278228e-05
"Level12","HOBBIES_1_384","CA_1",359.28,9.2100028e-05
"Level12","HOBBIES_1_385","CA_1",59.82,1.5334624e-05
"Level12","HOBBIES_1_386","CA_1",76.18,1.9528446e-05
"Level12","HOBBIES_1_387","CA_1",284.04,7.2812547e-05
"Level12","HOBBIES_1_388","CA_1",92.16,2.3624857e-05
"Level12","HOBBIES_1_389","CA_1",83.79,2.147924e-05
"Level12","HOBBIES_1_390","CA_1",58.65,1.5034699e-05
"Level12","HOBBIES_1_391","CA_1",46.56,1.1935475e-05
"Level12","HOBBIES_1_392","CA_1",428.34,0.00010980329
"Level12","HOBBIES_1_393","CA_1",144.8,3.7118916e-05
"Level12","HOBBIES_1_394","CA_1",480.68,0.000123220445
"Level12","HOBBIES_1_395","CA_1",44.88,1.1504813e-05
"Level12","HOBBIES_1_396","CA_1",0,0
"Level12","HOBBIES_1_397","CA_1",175.12,4.489133e-05
"Level12","HOBBIES_1_398","CA_1",33.63,8.620919e-06
"Level12","HOBBIES_1_399","CA_1",27.58,7.070026e-06
"Level12","HOBBIES_1_400","CA_1",11.4,2.922346e-06
"Level12","HOBBIES_1_401","CA_1",23.64,6.060022e-06
"Level12","HOBBIES_1_402","CA_1",69.58,1.7836562e-05
"Level12","HOBBIES_1_403","CA_1",238.14,6.1046261e-05
"Level12","HOBBIES_1_404","CA_1",72.48,1.8579966e-05
"Level12","HOBBIES_1_405","CA_1",76.08,1.9502812e-05
"Level12","HOBBIES_1_406","CA_1",23.28,5.967737e-06
"Level12","HOBBIES_1_407","CA_1",126.72,3.2484178e-05
"Level12","HOBBIES_1_408","CA_1",21,5.383268e-06
"Level12","HOBBIES_1_409","CA_1",167.04,4.2820053e-05
"Level12","HOBBIES_1_410","CA_1",608.16,0.000155899446
"Level12","HOBBIES_1_411","CA_1",20.1,5.152557e-06
"Level12","HOBBIES_1_412","CA_1",43.56,1.1166436e-05
"Level12","HOBBIES_1_413","CA_1",82.62,2.1179315e-05
"Level12","HOBBIES_1_414","CA_1",86.64,2.2209826e-05
"Level12","HOBBIES_1_415","CA_1",207.08,5.3084151e-05
"Level12","HOBBIES_1_416","CA_1",203.77,5.2235645e-05
"Level12","HOBBIES_1_417","CA_1",0,0
"Level12","HOBBIES_1_418","CA_1",103.48,2.6526695e-05
"Level12","HOBBIES_1_419","CA_1",35.88,9.197698e-06
"Level12","HOBBIES_1_420","CA_1",143.5,3.6785666e-05
"Level12","HOBBIES_1_421","CA_1",175.98,4.5111787e-05
"Level12","HOBBIES_1_422","CA_1",7.24,1.855946e-06
"Level12","HOBBIES_1_423","CA_1",365.66,9.3735516e-05
"Level12","HOBBIES_1_424","CA_1",70.8,1.8149304e-05
"Level12","HOBBIES_2_001","CA_1",21.88,5.608853e-06
