M4id,category,Frequency,Horizon,SP,StartingDate
H83,Other,24,48,Hourly,1/7/15 12:00
H84,Other,24,48,Hourly,1/7/15 12:00
H85,Other,24,48,Hourly,1/7/15 12:00
H86,Other,24,48,Hourly,1/7/15 12:00
H87,Other,24,48,Hourly,1/7/15 12:00
H88,Other,24,48,Hourly,1/7/15 8:00
H89,Other,24,48,Hourly,1/7/15 12:00
H90,Other,24,48,Hourly,1/7/15 12:00
H91,Other,24,48,Hourly,1/7/15 12:00
H92,Other,24,48,Hourly,1/7/15 12:00
H93,Other,24,48,Hourly,1/7/15 12:00
H94,Other,24,48,Hourly,1/7/15 12:00
H95,Other,24,48,Hourly,1/7/15 12:00
H96,Other,24,48,Hourly,1/7/15 12:00
H97,Other,24,48,Hourly,1/7/15 12:00
H98,Other,24,48,Hourly,1/7/15 12:00
H99,Other,24,48,Hourly,1/7/15 12:00
H100,Other,24,48,Hourly,1/7/15 12:00
H101,Other,24,48,Hourly,1/7/15 12:00
H102,Other,24,48,Hourly,1/7/15 12:00
H103,Other,24,48,Hourly,1/7/15 12:00
H104,Other,24,48,Hourly,1/7/15 12:00
H105,Other,24,48,Hourly,1/7/15 12:00
H106,Other,24,48,Hourly,1/7/15 12:00
H107,Other,24,48,Hourly,1/7/15 12:00
H108,Other,24,48,Hourly,1/7/15 12:00
H109,Other,24,48,Hourly,1/7/15 12:00
H110,Other,24,48,Hourly,1/7/15 12:00
H111,Other,24,48,Hourly,1/7/15 12:00
H112,Other,24,48,Hourly,1/7/15 12:00
H113,Other,24,48,Hourly,1/7/15 12:00
H114,Other,24,48,Hourly,1/7/15 12:00
H115,Other,24,48,Hourly,1/7/15 12:00
H116,Other,24,48,Hourly,1/7/15 12:00
H117,Other,24,48,Hourly,1/7/15 12:00
H118,Other,24,48,Hourly,1/7/15 12:00
H119,Other,24,48,Hourly,1/7/15 12:00
H120,Other,24,48,Hourly,1/7/15 12:00
H121,Other,24,48,Hourly,1/7/15 12:00
H122,Other,24,48,Hourly,1/7/15 12:00
H123,Other,24,48,Hourly,1/7/15 12:00
H124,Other,24,48,Hourly,1/6/09 12:00
H125,Other,24,48,Hourly,1/6/09 12:00
H126,Other,24,48,Hourly,1/6/09 12:00
H127,Other,24,48,Hourly,1/6/09 12:00
H128,Other,24,48,Hourly,1/6/09 12:00
H129,Other,24,48,Hourly,1/6/09 12:00
H130,Other,24,48,Hourly,25-09-09 12:00
H131,Other,24,48,Hourly,1/6/09 12:00
H132,Other,24,48,Hourly,1/6/09 12:00
H133,Other,24,48,Hourly,1/6/09 12:00
H134,Other,24,48,Hourly,1/6/09 12:00
H135,Other,24,48,Hourly,1/6/09 12:00
H136,Other,24,48,Hourly,1/6/09 12:00
H137,Other,24,48,Hourly,1/6/09 12:00
H138,Other,24,48,Hourly,1/6/09 12:00
H139,Other,24,48,Hourly,1/6/09 12:00
H140,Other,24,48,Hourly,1/6/09 12:00
H141,Other,24,48,Hourly,1/6/09 12:00
H142,Other,24,48,Hourly,1/9/13 12:00
H143,Other,24,48,Hourly,6/10/13 3:00
H144,Other,24,48,Hourly,1/9/13 12:00
H145,Other,24,48,Hourly,1/9/13 12:00
H146,Other,24,48,Hourly,1/9/13 12:00
H147,Other,24,48,Hourly,1/9/13 12:00
H148,Other,24,48,Hourly,1/9/13 12:00
H149,Other,24,48,Hourly,6/10/13 3:00
H150,Other,24,48,Hourly,1/9/13 12:00
H151,Other,24,48,Hourly,6/10/13 3:00
H152,Other,24,48,Hourly,11/10/13 12:00
H153,Other,24,48,Hourly,15-02-14 12:00
H154,Other,24,48,Hourly,9/10/13 12:00
H155,Other,24,48,Hourly,20-12-13 12:00
H156,Other,24,48,Hourly,23-04-14 12:00
H157,Other,24,48,Hourly,8/6/14 12:00
H158,Other,24,48,Hourly,24-06-16 12:00
H159,Other,24,48,Hourly,21-01-15 12:00
H160,Other,24,48,Hourly,1/2/15 12:00
H161,Other,24,48,Hourly,1/1/15 12:00
H162,Other,24,48,Hourly,23-08-14 12:00
H163,Other,24,48,Hourly,20-01-15 12:00
H164,Other,24,48,Hourly,1/7/17 12:00
H165,Other,24,48,Hourly,15-04-15 12:00
H166,Other,24,48,Hourly,21-04-15 4:00
H167,Other,24,48,Hourly,21-04-15 4:00
H168,Other,24,48,Hourly,1/7/17 12:00
H169,Other,24,48,Hourly,8/8/17 12:00
H170,Other,24,48,Hourly,11/5/10 12:00
H171,Other,24,48,Hourly,10/6/10 12:00
H172,Other,24,48,Hourly,13-04-10 12:00
H173,Other,24,48,Hourly,13-04-10 12:00
H174,Other,24,48,Hourly,17-05-10 12:00
H175,Other,24,48,Hourly,19-03-10 12:00
H176,Other,24,48,Hourly,16-05-10 12:00
H177,Other,24,48,Hourly,26-04-10 12:00
H178,Other,24,48,Hourly,21-05-10 12:00
H179,Other,24,48,Hourly,12/5/10 12:00
H180,Other,24,48,Hourly,23-04-10 12:00
H181,Other,24,48,Hourly,6/3/10 12:00
H182,Other,24,48,Hourly,2/1/10 12:00
H183,Other,24,48,Hourly,22-03-10 12:00
H184,Other,24,48,Hourly,14-03-10 12:00
H185,Other,24,48,Hourly,25-04-10 12:00
H186,Other,24,48,Hourly,8/5/10 12:00
H187,Other,24,48,Hourly,2/1/10 12:00
H188,Other,24,48,Hourly,28-03-10 12:00
H189,Other,24,48,Hourly,23-05-10 12:00
H190,Other,24,48,Hourly,30-05-10 12:00
H191,Other,24,48,Hourly,15-04-10 12:00
H192,Other,24,48,Hourly,19-02-10 12:00
H193,Other,24,48,Hourly,13-04-10 12:00
H194,Other,24,48,Hourly,21-05-10 12:00
H195,Other,24,48,Hourly,10/5/10 12:00
H196,Other,24,48,Hourly,8/3/10 12:00
H197,Other,24,48,Hourly,18-05-10 12:00
H198,Other,24,48,Hourly,8/4/10 12:00
H199,Other,24,48,Hourly,26-04-10 12:00
H200,Other,24,48,Hourly,21-05-10 12:00
H201,Other,24,48,Hourly,10/5/10 12:00
H202,Other,24,48,Hourly,28-04-10 12:00
H203,Other,24,48,Hourly,22-05-10 12:00
H204,Other,24,48,Hourly,2/5/10 12:00
H205,Other,24,48,Hourly,30-03-10 12:00
H206,Other,24,48,Hourly,18-04-10 12:00
H207,Other,24,48,Hourly,6/5/10 12:00
H208,Other,24,48,Hourly,23-04-10 12:00
H209,Other,24,48,Hourly,19-06-10 12:00
H210,Other,24,48,Hourly,21-05-10 12:00
H211,Other,24,48,Hourly,21-05-10 12:00
H212,Other,24,48,Hourly,2/5/10 12:00
H213,Other,24,48,Hourly,11/6/10 12:00
H214,Other,24,48,Hourly,2/5/10 12:00
H215,Other,24,48,Hourly,31-03-10 12:00
H216,Other,24,48,Hourly,25-04-10 12:00
H217,Other,24,48,Hourly,21-04-10 12:00
H218,Other,24,48,Hourly,8/4/10 12:00
H219,Other,24,48,Hourly,20-06-10 12:00
H220,Other,24,48,Hourly,14-04-10 12:00
H221,Other,24,48,Hourly,22-05-10 12:00
H222,Other,24,48,Hourly,1/3/10 12:00
H223,Other,24,48,Hourly,18-04-10 12:00
H224,Other,24,48,Hourly,17-04-10 12:00
H225,Other,24,48,Hourly,14-04-10 12:00
H226,Other,24,48,Hourly,5/5/10 12:00
H227,Other,24,48,Hourly,11/5/10 12:00
H228,Other,24,48,Hourly,15-05-10 12:00
H229,Other,24,48,Hourly,25-05-10 12:00
H230,Other,24,48,Hourly,15-05-10 12:00
H231,Other,24,48,Hourly,11/5/10 12:00
H232,Other,24,48,Hourly,21-05-10 12:00
H233,Other,24,48,Hourly,2/1/10 12:00
H234,Other,24,48,Hourly,14-02-10 12:00
H235,Other,24,48,Hourly,14-02-10 12:00
H236,Other,24,48,Hourly,17-05-10 12:00
H237,Other,24,48,Hourly,24-06-10 12:00
H238,Other,24,48,Hourly,28-05-10 12:00
H239,Other,24,48,Hourly,26-04-10 12:00
H240,Other,24,48,Hourly,5/2/10 12:00
H241,Other,24,48,Hourly,2/1/10 12:00
H242,Other,24,48,Hourly,29-06-10 12:00
H243,Other,24,48,Hourly,6/5/10 12:00
H244,Other,24,48,Hourly,31-03-10 12:00
H245,Other,24,48,Hourly,17-05-10 12:00
H246,Other,24,48,Hourly,30-04-10 12:00
H247,Other,24,48,Hourly,24-04-10 12:00
H248,Other,24,48,Hourly,13-04-10 12:00
H249,Other,24,48,Hourly,21-04-10 12:00
H250,Other,24,48,Hourly,27-05-10 12:00
H251,Other,24,48,Hourly,15-05-10 12:00
H252,Other,24,48,Hourly,10/5/10 12:00
H253,Other,24,48,Hourly,19-04-10 12:00
H254,Other,24,48,Hourly,2/1/10 12:00
H255,Other,24,48,Hourly,13-03-10 12:00
H256,Other,24,48,Hourly,2/1/10 12:00
H257,Other,24,48,Hourly,24-04-10 12:00
H258,Other,24,48,Hourly,17-04-10 12:00
H259,Other,24,48,Hourly,29-04-10 12:00
H260,Other,24,48,Hourly,11/5/10 12:00
H261,Other,24,48,Hourly,17-06-10 12:00
H262,Other,24,48,Hourly,2/1/10 12:00
H263,Other,24,48,Hourly,10/6/10 12:00
H264,Other,24,48,Hourly,2/1/10 12:00
H265,Other,24,48,Hourly,18-06-10 12:00
H266,Other,24,48,Hourly,2/1/10 12:00
H267,Other,24,48,Hourly,2/1/10 12:00
H268,Other,24,48,Hourly,9/5/10 12:00
H269,Other,24,48,Hourly,2/1/10 12:00
H270,Other,24,48,Hourly,4/5/10 12:00
H271,Other,24,48,Hourly,2/1/10 12:00
H272,Other,24,48,Hourly,9/4/10 12:00
H273,Other,24,48,Hourly,1/5/10 12:00
H274,Other,24,48,Hourly,2/1/10 12:00
H275,Other,24,48,Hourly,2/1/10 12:00
H276,Other,24,48,Hourly,2/1/10 12:00
H277,Other,24,48,Hourly,16-02-10 12:00
H278,Other,24,48,Hourly,31-05-10 12:00
H279,Other,24,48,Hourly,7/6/10 12:00
H280,Other,24,48,Hourly,23-05-10 12:00
H281,Other,24,48,Hourly,8/5/10 12:00
H282,Other,24,48,Hourly,9/6/10 12:00
H283,Other,24,48,Hourly,27-04-10 12:00
H284,Other,24,48,Hourly,9/5/10 12:00
H285,Other,24,48,Hourly,28-03-10 12:00
H286,Other,24,48,Hourly,21-02-10 12:00
H287,Other,24,48,Hourly,2/1/10 12:00
H288,Other,24,48,Hourly,3/6/10 12:00
H289,Other,24,48,Hourly,23-05-10 12:00
H290,Other,24,48,Hourly,14-05-10 12:00
H291,Other,24,48,Hourly,2/6/10 12:00
H292,Other,24,48,Hourly,14-03-10 12:00
H293,Other,24,48,Hourly,26-02-10 12:00
H294,Other,24,48,Hourly,21-05-10 12:00
H295,Other,24,48,Hourly,26-05-10 12:00
H296,Other,24,48,Hourly,23-05-10 12:00
H297,Other,24,48,Hourly,10/5/10 12:00
H298,Other,24,48,Hourly,7/4/10 12:00
H299,Other,24,48,Hourly,19-04-10 12:00
H300,Other,24,48,Hourly,1/4/10 12:00
H301,Other,24,48,Hourly,28-03-10 12:00
H302,Other,24,48,Hourly,11/3/10 12:00
H303,Other,24,48,Hourly,21-05-10 12:00
H304,Other,24,48,Hourly,9/4/10 12:00
H305,Other,24,48,Hourly,20-05-10 12:00
H306,Other,24,48,Hourly,6/5/10 12:00
H307,Other,24,48,Hourly,10/5/10 12:00
H308,Other,24,48,Hourly,3/5/10 12:00
H309,Other,24,48,Hourly,10/5/10 12:00
H310,Other,24,48,Hourly,16-05-10 12:00
H311,Other,24,48,Hourly,30-04-10 12:00
H312,Other,24,48,Hourly,20-05-10 12:00
H313,Other,24,48,Hourly,7/6/10 12:00
H314,Other,24,48,Hourly,20-06-10 12:00
H315,Other,24,48,Hourly,2/1/10 12:00
H316,Other,24,48,Hourly,25-06-10 12:00
H317,Other,24,48,Hourly,13-05-10 12:00
H318,Other,24,48,Hourly,5/5/10 12:00
H319,Other,24,48,Hourly,31-03-10 12:00
H320,Other,24,48,Hourly,14-02-10 12:00
H321,Other,24,48,Hourly,2/1/10 12:00
H322,Other,24,48,Hourly,14-06-10 12:00
H323,Other,24,48,Hourly,23-04-10 12:00
H324,Other,24,48,Hourly,23-05-10 12:00
H325,Other,24,48,Hourly,23-05-10 12:00
H326,Other,24,48,Hourly,8/6/10 12:00
H327,Other,24,48,Hourly,9/5/10 12:00
H328,Other,24,48,Hourly,11/5/10 12:00
H329,Other,24,48,Hourly,23-01-17 12:00
H330,Other,24,48,Hourly,11/9/17 12:00
H331,Other,24,48,Hourly,19-05-17 12:00
H332,Other,24,48,Hourly,24-01-17 12:00
H333,Other,24,48,Hourly,1/1/17 12:00
H334,Other,24,48,Hourly,18-03-17 12:00
H335,Other,24,48,Hourly,15-03-17 12:00
H336,Other,24,48,Hourly,1/1/17 12:00
H337,Other,24,48,Hourly,1/1/17 12:00
H338,Other,24,48,Hourly,5/4/17 12:00
H339,Other,24,48,Hourly,1/1/17 12:00
H340,Other,24,48,Hourly,2/4/17 12:00
H341,Other,24,48,Hourly,1/1/17 12:00
H342,Other,24,48,Hourly,1/1/17 12:00
H343,Other,24,48,Hourly,21-09-17 12:00
H344,Other,24,48,Hourly,1/1/17 12:00
H345,Other,24,48,Hourly,1/1/17 12:00
H346,Other,24,48,Hourly,3/2/17 12:00
H347,Other,24,48,Hourly,15-03-17 12:00
H348,Other,24,48,Hourly,1/1/17 12:00
H349,Other,24,48,Hourly,1/2/17 12:00
H350,Other,24,48,Hourly,18-03-17 12:00
H351,Other,24,48,Hourly,30-03-17 12:00
H352,Other,24,48,Hourly,1/1/17 12:00
H353,Other,24,48,Hourly,22-05-17 12:00
H354,Other,24,48,Hourly,3/7/17 12:00
H355,Other,24,48,Hourly,1/1/17 12:00
H356,Other,24,48,Hourly,1/1/17 12:00
H357,Other,24,48,Hourly,8/6/17 12:00
H358,Other,24,48,Hourly,12/4/17 12:00
H359,Other,24,48,Hourly,16-06-17 12:00
H360,Other,24,48,Hourly,7/8/17 12:00
H361,Other,24,48,Hourly,18-04-17 12:00
H362,Other,24,48,Hourly,20-01-17 12:00
H363,Other,24,48,Hourly,1/1/17 12:00
H364,Other,24,48,Hourly,1/5/17 12:00
H365,Other,24,48,Hourly,1/1/17 12:00
H366,Other,24,48,Hourly,1/1/17 12:00
H367,Other,24,48,Hourly,1/3/17 12:00
H368,Other,24,48,Hourly,18-03-17 12:00
H369,Other,24,48,Hourly,1/1/17 12:00
H370,Other,24,48,Hourly,1/1/17 12:00
H371,Other,24,48,Hourly,23-01-17 12:00
H372,Other,24,48,Hourly,18-03-17 12:00
H373,Other,24,48,Hourly,18-01-17 12:00
H374,Other,24,48,Hourly,1/1/17 12:00
H375,Other,24,48,Hourly,15-03-17 12:00
H376,Other,24,48,Hourly,1/1/17 12:00
H377,Other,24,48,Hourly,31-08-17 12:00
H378,Other,24,48,Hourly,13-06-17 12:00
H379,Other,24,48,Hourly,2/10/17 12:00
H380,Other,24,48,Hourly,1/1/17 12:00
H381,Other,24,48,Hourly,1/1/17 12:00
H382,Other,24,48,Hourly,5/6/17 12:00
H383,Other,24,48,Hourly,31-10-17 12:00
H384,Other,24,48,Hourly,17-04-17 12:00
H385,Other,24,48,Hourly,1/1/17 12:00
H386,Other,24,48,Hourly,1/5/17 12:00
H387,Other,24,48,Hourly,1/1/17 12:00
H388,Other,24,48,Hourly,13-03-17 12:00
H389,Other,24,48,Hourly,1/1/17 12:00
H390,Other,24,48,Hourly,1/1/17 12:00
H391,Other,24,48,Hourly,1/1/17 12:00
H392,Other,24,48,Hourly,8/4/17 12:00
H393,Other,24,48,Hourly,19-06-17 12:00
H394,Other,24,48,Hourly,1/1/17 12:00
H395,Other,24,48,Hourly,1/1/17 12:00
H396,Other,24,48,Hourly,8/1/17 12:00
H397,Other,24,48,Hourly,1/1/17 12:00
H398,Other,24,48,Hourly,1/1/17 12:00
H399,Other,24,48,Hourly,22-01-17 12:00
H400,Other,24,48,Hourly,1/1/17 12:00
H401,Other,24,48,Hourly,1/1/17 12:00
H402,Other,24,48,Hourly,1/1/17 12:00
H403,Other,24,48,Hourly,16-03-17 12:00
H404,Other,24,48,Hourly,6/1/17 12:00
H405,Other,24,48,Hourly,1/1/17 12:00
H406,Other,24,48,Hourly,1/7/17 12:00
H407,Other,24,48,Hourly,1/1/17 12:00
H408,Other,24,48,Hourly,1/1/17 12:00
H409,Other,24,48,Hourly,1/1/17 12:00
H410,Other,24,48,Hourly,1/1/17 12:00
H411,Other,24,48,Hourly,1/1/17 12:00
H412,Other,24,48,Hourly,1/1/17 12:00
H413,Other,24,48,Hourly,12/6/17 12:00
H414,Other,24,48,Hourly,27-04-17 12:00
